24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
,,,,,,,//Mobile Tawfik,,,
-72,-53,-68,-60,-80,-100,-96,-100,,1,1
-100,-47,-69,-55,-100,-100,-100,-100,,1,1
-68,-56,-77,-63,-81,-100,-100,-100,,1,1
-64,-62,-77,-61,-73,-100,-100,-100,,1,1
-100,-39,-57,-51,-79,-100,-96,-100,,1,1
-51,-80,-87,-82,-58,-100,-100,-100,,1,1
-46,-81,-86,-100,-71,-100,-100,-100,,1,1
-63,-77,-75,-91,-74,-100,-76,-100,,1,1
-52,-50,-70,-62,-79,-100,-88,-100,,1,1
-73,-53,-63,-55,-79,-100,-95,-100,,1,1
-44,-57,-63,-74,-79,-100,-90,-100,,1,1
-56,-79,-78,-79,-84,-100,-97,-100,,1,1
-100,-85,-85,-100,-66,-100,-92,-100,,1,1
-61,-61,-63,-83,-84,-100,-96,-100,,1,1
-59,-49,-100,-66,-84,-100,-91,-100,,1,1
-35,-72,-82,-89,-71,-100,-90,-100,,1,1
-100,-56,-65,-57,-74,-100,-100,-100,,1,1
-68,-54,-70,-62,-100,-100,-100,-100,,1,1
-72,-58,-68,-59,-65,-100,-100,-100,,1,1
-75,-68,-89,-100,-68,-100,-100,-100,,1,1
-70,-60,-73,-68,-69,-100,-100,-100,,1,1
-70,-60,-73,-68,-69,-100,-100,-100,,1,1
-81,-58,-76,-59,-100,-100,-100,-100,,1,1
-75,-47,-64,-56,-100,-100,-100,-100,,1,1
-73,-60,-72,-64,-83,-100,-97,-100,,1,1
-57,-58,-71,-66,-71,-100,-100,-100,,1,1
-57,-63,-67,-75,-80,-100,-100,-100,,1,1
-64,-59,-70,-62,-73,-100,-100,-100,,1,1
-64,-59,-70,-62,-73,-100,-100,-100,,1,1
-73,-59,-76,-62,-79,-100,-100,-100,,1,1
-73,-59,-76,-62,-79,-100,-100,-100,,1,1
-75,-58,-68,-70,-100,-100,-100,-100,,1,1
-100,-51,-61,-55,-76,-100,-100,-100,,1,1
-100,-41,-55,-57,-76,-100,-92,-100,,1,1
-64,-36,-70,-63,-100,-100,-100,-100,,1,1
-73,-37,-68,-61,-77,-100,-100,-100,,1,1
-100,-50,-67,-62,-77,-100,-100,-100,,1,1
-49,-76,-78,-80,-80,-100,-100,-100,-100,1,1
-54,-77,-88,-87,-60,-100,-100,-100,-100,1,1
-57,-81,-89,-81,-58,-100,-100,-100,-100,1,1
-63,-100,-100,-100,-72,-100,-100,-100,-100,1,1
-53,-83,-88,-100,-58,-100,-100,-100,-100,1,1
-53,-83,-88,-100,-58,-100,-100,-100,-100,1,1
-61,-79,-92,-84,-72,-100,-100,-100,-100,1,1
-55,-85,-82,-100,-71,-100,-96,-100,-100,1,1
-36,-78,-80,-82,-72,-100,-100,-100,-100,1,1
-52,-87,-75,-82,-79,-100,-97,-100,-100,1,1
-16,-100,-78,-100,-62,-100,-100,-100,-100,1,1
-40,-84,-77,-83,-76,-100,-89,-100,-100,1,1
-45,-100,-84,-100,-74,-100,-100,-100,-100,1,1
-52,-100,-82,-100,-83,-100,-96,-100,-100,1,1
-37,-76,-74,-100,-79,-100,-82,-100,-100,1,1
-36,-76,-71,-100,-75,-100,-82,-100,-100,1,1
-36,-79,-83,-87,-75,-100,-81,-100,-100,1,1
-44,-76,-77,-79,-80,-100,-85,-100,-100,1,1
-61,-73,-72,-89,-77,-100,-86,-100,-100,1,1
-59,-82,-85,-88,-100,-100,-84,-100,-100,1,1
-65,-68,-89,-90,-100,-100,-92,-100,-100,1,1
-68,-100,-86,-100,-86,-100,-87,-100,-100,1,1
-78,-100,-100,-92,-100,-100,-100,-100,-100,1,1
-58,-100,-81,-100,-78,-100,-86,-100,-100,1,1
-58,-74,-75,-83,-81,-100,-97,-100,-100,1,1
-100,-72,-65,-78,-78,-100,-100,-100,-100,1,1
-58,-57,-69,-77,-79,-100,-94,-100,-97,1,1
-52,-76,-80,-87,-82,-100,-100,-100,-100,1,1
-59,-75,-78,-89,-79,-100,-100,-100,-100,1,1
-49,-70,-74,-80,-76,-100,-100,-100,-100,1,1
-49,-70,-74,-80,-76,-100,-100,-100,-100,1,1
-49,-73,-66,-100,-79,-100,-92,-100,-97,1,1
-47,-80,-71,-79,-76,-100,-96,-100,-94,1,1
-47,-80,-71,-79,-76,-100,-96,-100,-94,1,1
-43,-66,-63,-100,-65,-100,-100,-100,-100,1,1
-50,-73,-63,-81,-65,-100,-100,-100,-100,1,1
-54,-67,-63,-82,-65,-100,-90,-100,-100,1,1
,,,,,,,//Mobile Rawan,,,
-82,-48,-64,-55,-100,-100,-95,-100,-100,1,1
-81,-69,-74,-72,-100,-100,-100,-100,-100,1,1
-69,-64,-74,-69,-67,-100,-100,-100,-100,1,1
-69,-64,-74,-69,-67,-100,-100,-100,-100,1,1
-100,-45,-54,-57,-100,-100,-91,-100,-100,1,1
-69,-63,-73,-65,-100,-100,-100,-100,-100,1,1
-78,-57,-67,-63,-100,-100,-100,-100,-100,1,1
-79,-55,-72,-55,-100,-100,-100,-100,-100,1,1
-100,-50,-73,-58,-90,-100,-92,-100,-100,1,1
-71,-58,-55,-61,-91,-100,-100,-100,-100,1,1
-42,-87,-73,-100,-62,-100,-100,-100,-100,1,1
-65,-78,-69,-82,-81,-100,-100,-100,-100,1,1
-53,-80,-65,-100,-78,-100,-92,-100,-100,1,1
-36,-78,-67,-100,-68,-100,-100,-100,-100,1,1
-75,-54,-60,-59,-100,-100,-100,-100,-100,1,1
-90,-61,-75,-63,-89,-100,-100,-100,-100,1,1
-51,-60,-78,-76,-71,-100,-92,-100,-100,1,1
-58,-69,-79,-86,-81,-100,-100,-100,-100,1,1
-76,-75,-100,-100,-100,-100,-86,-100,-100,1,1
-66,-100,-76,-100,-100,-100,-86,-100,-100,1,1
-46,-100,-83,-100,-72,-100,-100,-100,-100,1,1
-42,-100,-100,-100,-100,-100,-100,-100,-100,1,1
-35,-76,-86,-100,-71,-100,-100,-100,-100,1,1
-42,-83,-83,-100,-69,-100,-100,-100,-100,1,1
-43,-80,-100,-77,-69,-100,-100,-100,-100,1,1
-42,-100,-73,-80,-75,-100,-100,-100,-100,1,1
-66,-57,-81,-82,-100,-100,-100,-100,-100,1,1
-74,-42,-53,-64,-100,-100,-100,-100,-100,1,1
-76,-51,-70,-62,-100,-100,-100,-100,-100,1,1
-74,-63,-78,-100,-65,-100,-100,-100,-100,1,1
-68,-69,-69,-72,-100,-100,-100,-100,-100,1,1
-77,-75,-81,-100,-74,-100,-100,-100,-100,1,1
-74,-46,-45,-58,-100,-100,-100,-100,-100,1,1
-66,-60,-71,-76,-100,-100,-90,-100,-100,1,1
-55,-100,-70,-80,-100,-100,-100,-100,-100,1,1
-69,-49,-54,-69,-100,-100,-100,-100,-100,1,1
-64,-60,-76,-72,-81,-100,-100,-100,-100,1,1
-55,-80,-86,-86,-100,-100,-100,-100,-100,1,1
-81,-62,-68,-65,-100,-100,-100,-100,-100,1,1
-100,-51,-68,-59,-100,-100,-100,-100,-100,1,1
-100,-54,-58,-62,-100,-100,-100,-100,-100,1,1
-100,-55,-64,-68,-100,-100,-100,-100,-100,1,1
-91,-55,-65,-68,-100,-100,-100,-100,-100,1,1
-100,-53,-67,-62,-100,-100,-100,-100,-100,1,1
-100,-47,-75,-70,-80,-100,-100,-100,-100,1,1
-79,-69,-66,-60,-85,-100,-100,-100,-100,1,1
-100,-62,-71,-67,-69,-100,-100,-100,-100,1,1
-71,-67,-80,-64,-77,-100,-100,-100,-100,1,1
-71,-67,-80,-64,-77,-100,-100,-100,-100,1,1
-87,-50,-71,-67,-100,-100,-100,-100,-100,1,1
-100,-55,-66,-50,-100,-100,-100,-100,-100,1,1
-79,-53,-71,-63,-100,-100,-100,-100,-100,1,1
-100,-61,-64,-66,-100,-100,-88,-100,-100,1,1
-82,-62,-74,-100,-85,-100,-100,-100,-100,1,1
-100,-57,-68,-62,-100,-100,-100,-100,-100,1,1
-72,-100,-70,-60,-72,-100,-100,-100,-100,1,1
-100,-50,-65,-100,-100,-100,-100,-100,-100,1,1
-100,-55,-61,-54,-100,-100,-100,-100,-100,1,1
-100,-61,-61,-63,-100,-100,-100,-100,-100,1,1
-68,-49,-69,-60,-88,-100,-100,-100,-100,1,1
-76,-54,-55,-63,-100,-100,-100,-100,-100,1,1
-59,-78,-73,-86,-90,-100,-100,-100,-100,1,1
-47,-75,-81,-81,-82,-100,-100,-100,-100,1,1
-46,-77,-79,-100,-100,-100,-100,-100,-100,1,1
-40,-80,-84,-80,-71,-100,-84,-100,-100,1,1
-40,-100,-73,-75,-100,-100,-100,-100,-100,1,1
-31,-100,-80,-78,-61,-100,-100,-100,-100,1,1
-45,-77,-89,-78,-69,-100,-100,-100,-100,1,1
-56,-62,-67,-73,-78,-100,-100,-100,-100,1,1
-79,-47,-75,-63,-100,-100,-100,-100,-100,1,1
-81,-60,-63,-59,-100,-100,-100,-100,-100,1,1
-73,-58,-61,-67,-79,-100,-100,-100,-100,1,1
-59,-75,-77,-82,-86,-100,-100,-100,-100,1,1
-65,-84,-74,-88,-76,-100,-100,-100,-100,1,1
-66,-83,-100,-100,-72,-100,-100,-100,-100,1,1
-55,-79,-78,-100,-75,-81,-81,-100,-100,1,1
-46,-74,-91,-83,-68,-82,-88,-100,-100,1,1
-44,-86,-100,-91,-78,-100,-85,-100,-100,1,1
-53,-100,-85,-100,-61,-100,-89,-100,-100,1,1
-27,-80,-75,-81,-68,-100,-84,-100,-100,1,1
-53,-78,-82,-79,-62,-81,-100,-100,-100,1,1
-52,-83,-86,-100,-64,-100,-100,-100,-100,1,1
-59,-84,-100,-83,-59,-82,-100,-100,-100,1,1
-44,-100,-86,-100,-59,-81,-100,-100,-100,1,1
-54,-86,-100,-100,-67,-100,-100,-100,-100,1,1
-45,-78,-76,-100,-62,-84,-100,-100,-100,1,1
-56,-81,-82,-80,-57,-80,-100,-100,-100,1,1
-54,-78,-100,-89,-62,-79,-100,-100,-100,1,1
-64,-100,-92,-81,-65,-100,-100,-100,-100,1,1
-61,-100,-100,-100,-69,-81,-100,-100,-100,1,1
-45,-100,-88,-84,-100,-74,-100,-100,-100,1,1
-56,-100,-82,-100,-64,-75,-100,-100,-100,1,1
-53,-84,-81,-100,-70,-100,-100,-100,-100,1,1
-41,-77,-70,-100,-71,-82,-100,-100,-100,1,1
