24:d3:f2:a7:b3:cd,b4:74:9f:ba:83:34,b0:89:00:74:7c:84,9c:d6:43:cb:23:c0,30:99:35:90:32:9f,44:fb:5a:d2:d0:61,d8:0d:17:db:be:92,10:10:81:ad:c4:92,f4:e3:fb:90:3a:a8,indoor,roomNum
-100,-65,-83,-37,-71,-74,-92,-100,-80,1,2
-100,-65,-85,-37,-70,-76,-84,-91,-83,1,2
-100,-65,-82,-37,-70,-75,-100,-84,-89,1,2
-100,-72,-82,-37,-69,-79,-100,-83,-79,1,2
-100,-65,-86,-37,-69,-75,-100,-84,-82,1,2
-80,-68,-72,-42,-69,-74,-93,-80,-89,1,2
-80,-69,-72,-43,-70,-79,-91,-83,-85,1,2
-81,-69,-71,-43,-66,-78,-91,-80,-85,1,2
-81,-68,-72,-43,-68,-75,-89,-100,-86,1,2
-80,-67,-73,-43,-67,-76,-88,-100,-83,1,2
-81,-68,-72,-42,-68,-78,-90,-83,-83,1,2
-100,-72,-72,-43,-69,-77,-89,-82,-86,1,2
-79,-68,-72,-42,-69,-76,-91,-100,-87,1,2
-80,-65,-72,-42,-67,-76,-100,-80,-84,1,2
-81,-68,-72,-43,-68,-78,-92,-100,-85,1,2
-80,-68,-71,-43,-100,-75,-100,-100,-93,1,2
-80,-68,-71,-42,-83,-77,-88,-100,-86,1,2
-80,-68,-69,-43,-68,-100,-100,-82,-89,1,2
-81,-66,-72,-43,-68,-75,-87,-82,-87,1,2
-81,-68,-71,-43,-68,-75,-91,-79,-100,1,2
-80,-68,-72,-43,-68,-75,-90,-100,-86,1,2
-81,-67,-71,-43,-67,-76,-100,-83,-87,1,2
-80,-65,-70,-44,-70,-75,-91,-81,-91,1,2
-80,-68,-71,-42,-69,-75,-92,-79,-86,1,2
-80,-72,-71,-43,-68,-73,-90,-100,-81,1,2
-80,-71,-70,-43,-67,-74,-91,-77,-83,1,2
-100,-70,-71,-43,-68,-76,-92,-100,-81,1,2
-100,-76,-78,-33,-64,-70,-90,-100,-76,1,2
-100,-60,-75,-38,-61,-72,-86,-76,-80,1,2
-84,-61,-72,-36,-60,-72,-82,-79,-93,1,2
-100,-63,-75,-36,-60,-72,-86,-79,-82,1,2
-100,-60,-82,-38,-60,-71,-84,-81,-84,1,2
-85,-61,-81,-38,-61,-100,-88,-79,-87,1,2
-100,-60,-76,-37,-61,-70,-85,-80,-87,1,2
-100,-63,-77,-38,-61,-67,-100,-79,-82,1,2
-100,-62,-76,-38,-61,-67,-100,-77,-87,1,2
-83,-60,-76,-38,-61,-67,-100,-76,-83,1,2
-100,-74,-76,-38,-61,-67,-100,-79,-100,1,2
-100,-60,-83,-38,-61,-67,-100,-78,-84,1,2
-83,-59,-80,-38,-61,-68,-100,-76,-83,1,2
-100,-62,-77,-37,-60,-67,-100,-78,-84,1,2
-84,-65,-86,-31,-68,-77,-100,-78,-88,1,2
-86,-59,-76,-30,-66,-100,-82,-76,-82,1,2
-85,-59,-81,-29,-69,-71,-100,-75,-83,1,2
-100,-59,-80,-30,-68,-70,-79,-76,-85,1,2
-100,-63,-79,-30,-100,-71,-100,-76,-82,1,2
-100,-59,-80,-30,-66,-71,-100,-77,-85,1,2
-100,-60,-79,-30,-100,-71,-100,-74,-100,1,2
-100,-59,-80,-30,-68,-71,-85,-70,-82,1,2
-100,-59,-80,-30,-69,-71,-100,-100,-83,1,2
-100,-59,-78,-30,-100,-100,-80,-76,-82,1,2
-100,-65,-100,-42,-64,-76,-91,-100,-100,1,2
-100,-65,-83,-42,-62,-73,-100,-100,-94,1,2
-100,-61,-84,-42,-60,-75,-87,-100,-100,1,2
-100,-65,-88,-41,-100,-78,-87,-86,-93,1,2
-83,-61,-88,-42,-60,-76,-100,-100,-91,1,2
-84,-60,-88,-42,-100,-76,-86,-83,-100,1,2
-100,-61,-89,-42,-61,-74,-100,-84,-88,1,2
-84,-64,-87,-42,-61,-75,-100,-87,-89,1,2
-100,-61,-87,-42,-60,-76,-100,-100,-87,1,2
-100,-61,-84,-42,-61,-74,-100,-100,-88,1,2
-100,-62,-86,-42,-60,-76,-100,-100,-88,1,2
-84,-64,-100,-42,-74,-76,-89,-100,-100,1,2
-100,-64,-85,-42,-60,-75,-100,-100,-88,1,2
-100,-75,-88,-45,-58,-67,-100,-100,-90,1,2
-85,-77,-86,-45,-57,-66,-95,-100,-90,1,2
-100,-75,-88,-45,-58,-66,-100,-100,-89,1,2
-100,-77,-86,-44,-57,-65,-100,-84,-100,1,2
